target,horizon_weeks,variant,cutoff,n_polls,p_right_bloc_ahead,right_bloc_ahead,brier_bloc,crps_pp,energy_pp,log_score_share,mae_pp,coverage_50,coverage_90,crps_pp[National],error_pp[National],sd_pp[National],pit[National],crps_pp[Labour],error_pp[Labour],sd_pp[Labour],pit[Labour],crps_pp[Green],error_pp[Green],sd_pp[Green],pit[Green],crps_pp[ACT],error_pp[ACT],sd_pp[ACT],pit[ACT],crps_pp[NZ First],error_pp[NZ First],sd_pp[NZ First],pit[NZ First],crps_pp[Te Pāti Māori],error_pp[Te Pāti Māori],sd_pp[Te Pāti Māori],pit[Te Pāti Māori],crps_pp[New Conservative],error_pp[New Conservative],sd_pp[New Conservative],pit[New Conservative],crps_pp[United Future],error_pp[United Future],sd_pp[United Future],pit[United Future],crps_pp[TOP],error_pp[TOP],sd_pp[TOP],pit[TOP]
2020,4,heavy,2020-09-19,251,0.026,false,0.000676,1.6014281942367572,4.605103232281071,11.865522171707934,2.2613224847316737,0.4,1.0,2.6850603378845364,4.5812049341201755,4.871937274932861,0.16,2.04359968942307,2.4775879287719738,7.0973591804504395,0.332,1.1882396401521567,-1.757100165486336,1.4320772886276245,0.891,1.8778698714045055,-2.43388418495655,3.3700830936431885,0.876,0.2123714323195163,-0.05683521032333362,0.9862437844276428,0.603,,,,,,,,,,,,,,,,
2020,8,heavy,2020-08-22,250,0.018,false,0.00032399999999999996,1.9163961082483347,5.425694882462809,9.821021545322564,2.822341406166553,0.4,0.8,1.6786278438127027,2.824572606086728,4.98677396774292,0.281,3.545155835636261,5.666358938217164,7.038331031799316,0.199,2.1528011168214314,-2.7439064687490466,1.1433745622634888,0.976,1.9422579952727528,-2.5980674141645426,2.6412594318389893,0.87,0.2631377496985252,-0.27880160361528383,0.9188870191574097,0.699,,,,,,,,,,,,,,,,
2023,1,heavy,2023-10-07,370,0.704,true,0.08761600000000003,0.8354050960536571,3.0346710249916677,23.120677253721134,1.1633062446543152,0.42857142857142855,1.0,2.363219409428838,-3.577857332229617,2.6867446899414062,0.913,0.6199450508069989,-0.22863177776336618,2.7049267292022705,0.568,0.4134345692764225,0.6299017214775091,1.3775120973587036,0.339,1.6577842586521792,2.544868216514587,1.7491366863250732,0.059,0.28001414118692264,0.3829943871498105,1.0379416942596436,0.382,0.2789739405106752,-0.4340255799889565,0.5076842308044434,0.815,,,,,,,,,0.2344643025135621,-0.34486469745635995,0.46813225746154785,0.805
2023,26,heavy,2023-04-15,340,0.311,true,0.47472100000000006,2.340816855148562,8.304115936171305,17.483225359630254,3.5208997647251405,0.14285714285714285,0.7142857142857143,3.3166341907212162,-5.4282239246368436,5.620536804199219,0.834,6.497093728123902,9.9846151638031,7.204236030578613,0.092,2.466947994199356,-3.314289615154266,1.6601253747940063,0.957,1.2585412477290436,2.285374180078506,5.062828063964844,0.371,2.0009700294349617,-2.655154939889908,1.4097517728805542,0.959,0.42402363589978753,-0.5759224462509156,0.9601824283599854,0.785,,,,,,,,,0.4215071599316644,-0.4027180832624436,1.210218906402588,0.751
2023,4,heavy,2023-09-16,366,0.688,true,0.09734400000000003,0.786264813311631,2.8081044885390156,22.947145684863628,1.2242913975885938,0.7142857142857143,1.0,1.6404570844328423,-2.7620336580276517,3.343106746673584,0.816,1.076743142098337,1.5384403038024907,4.145324230194092,0.346,0.48403505768075533,-0.689794287681579,1.4995085000991821,0.691,1.4499940241800986,2.603294924497604,2.853170871734619,0.157,0.43882645235121265,-0.5850480014085773,1.2102516889572144,0.737,0.1619106483154371,-0.08073432177305231,0.7261158227920532,0.576,,,,,,,,,0.2518872841227333,-0.3106942859292031,0.6958925127983093,0.73
2023,8,heavy,2023-08-19,358,0.616,true,0.147456,1.4896565448160886,5.169202143184436,20.200889126732523,2.4256709580762053,0.2857142857142857,1.0,2.8207075529363768,-4.624431447982791,4.493637561798096,0.852,2.360416691494285,4.098492579460144,5.38943338394165,0.217,1.3505186471728226,-2.044355288743972,1.695937991142273,0.887,2.439912493037803,4.357013330459594,4.182642936706543,0.115,0.9464641648843513,-1.3261665666103366,1.6780635118484497,0.848,0.232700229196772,0.27784107446670525,1.0598080158233643,0.439,,,,,,,,,0.27687603499020913,-0.25139641880989083,0.9769357442855835,0.685
2017,1,legacy,2017-09-16,211,0.689,true,0.09672100000000003,1.0217317406448498,3.9597544307541703,22.330245367752006,1.3368934420001461,0.25,0.5,2.0685153619319205,-2.706733417510987,1.1545456647872925,0.989,2.403278822316527,3.1401903486251825,1.3017534017562866,0.006,1.5499070952150227,-2.040199596881867,0.889936089515686,0.987,0.07062213614135983,0.11622215434908865,0.1588759422302246,0.241,1.6455970420733095,2.0498034238815315,0.7138649225234985,0.002,0.2732269591730461,0.4038894993066788,0.26112401485443115,0.061,0.1366982799563184,-0.19962250686716287,0.4197937846183777,0.668,0.026008228351294547,0.03848658857867122,0.08071853220462799,0.309,,,,
2017,26,legacy,2017-03-25,191,0.991,true,0.00008100000000000014,1.8179335155831735,7.6137217024937,14.29839346888279,2.313270010813139,0.125,0.625,1.3901468120187517,2.2983341693878168,2.1133248805999756,0.132,6.811603564605118,-8.06079794406891,2.2219789028167725,1.0,3.343025103443862,3.852984647750854,0.9134772419929504,0.0,0.12451807827658484,0.20522516034543514,0.2677343785762787,0.212,1.7396564008343969,2.5542300820350654,1.6083240509033203,0.058,0.7194350409758278,1.04165584564209,0.6159093379974365,0.035,0.3349288078213483,0.36022068209946156,1.3003517389297485,0.377,0.0801543166895001,0.13271155517548322,0.16688765585422516,0.207,,,,
2017,4,legacy,2017-08-26,205,0.991,true,0.00008100000000000014,1.6512051515642876,7.282669130049179,5.82418265630654,1.9065923007848324,0.375,0.625,0.34006015713214865,0.39282732009887633,1.2450134754180908,0.373,6.0209078171968455,-6.8226217174530035,1.42349374294281,1.0,2.513512083371729,2.968476306200027,0.8111640810966492,0.0,0.08374064887640997,0.14353933557868004,0.1753181666135788,0.215,3.8305967880457645,4.308929729461671,0.8560757040977478,0.0,0.20294339429521932,0.3298432078957558,0.30929863452911377,0.13,0.18875025844089693,-0.2550658845086582,0.6510883569717407,0.68,0.02913006515528542,0.03143490508198738,0.1060825064778328,0.38,,,,
2017,8,legacy,2017-07-29,199,1.0,true,0.0,2.3715836075585948,10.649169387925534,-9.094740362902733,2.7037866048654537,0.125,0.625,1.2953187540203328,2.006462144851684,1.4113118648529053,0.079,9.48105361749828,-10.364103212356568,1.5681729316711426,1.0,4.129186426751317,4.520855437517166,0.7022486329078674,0.0,0.14317566127870232,0.2277526892721653,0.19832724332809448,0.126,3.5116748901769523,4.051994222402573,0.9578630328178406,0.0,0.1507337184458413,0.2454027977585793,0.35187575221061707,0.221,0.1959876274124905,0.10860211890190842,0.8219102621078491,0.456,0.06553816488484156,0.10512021586298942,0.11373348534107208,0.165,,,,
2020,1,legacy,2020-10-10,256,0.0,false,0.0,1.7415438498207474,5.130541889430988,4.731380051054309,2.2022277114391318,0.2,0.4,4.481565076085923,5.201969428062436,1.2859759330749512,0.0,2.2087038265138856,-3.0171616172790516,1.4866100549697876,0.98,1.5099380924832078,-1.9276782280206683,0.7477986812591553,0.995,0.1448168700070677,-0.240646716356277,0.34818699955940247,0.748,0.3626953840136529,0.6236825674772264,0.7555676102638245,0.221,,,,,,,,,,,,,,,,
2020,26,legacy,2020-04-18,241,0.183,false,0.033489,5.732709598201937,16.449369143956616,-78.7024096240016,6.737649366021155,0.0,0.4,14.890834789761904,16.23353747844696,2.404010772705078,0.0,6.591544292004406,-8.588082919120787,3.6719181537628174,0.99,1.1261754436430338,-1.8017183399200443,1.6326549053192139,0.876,4.805344564264079,-5.039235990643501,0.4161190390586853,1.0,1.249648901336267,2.025672101974487,1.9596940279006958,0.154,,,,,,,,,,,,,,,,
