target,horizon_weeks,variant,p_right_bloc_ahead,right_bloc_ahead,brier_bloc,crps_pp,energy_pp,log_score_share,mae_pp,coverage_50,coverage_90,crps_pp[National],error_pp[National],sd_pp[National],pit[National],crps_pp[Labour],error_pp[Labour],sd_pp[Labour],pit[Labour],crps_pp[Green],error_pp[Green],sd_pp[Green],pit[Green],crps_pp[ACT],error_pp[ACT],sd_pp[ACT],pit[ACT],crps_pp[NZ First],error_pp[NZ First],sd_pp[NZ First],pit[NZ First],crps_pp[Te Pāti Māori],error_pp[Te Pāti Māori],sd_pp[Te Pāti Māori],pit[Te Pāti Māori],crps_pp[New Conservative],error_pp[New Conservative],sd_pp[New Conservative],pit[New Conservative],crps_pp[United Future],error_pp[United Future],sd_pp[United Future],pit[United Future],crps_pp[TOP],error_pp[TOP],sd_pp[TOP],pit[TOP]
2017,26,calibrated,0.72925,true,0.07330556250000002,1.3952224883173283,5.904020608652337,22.45581508270672,2.066563239504602,0.625,0.75,1.6191674962192733,1.3929151613768675,6.320072587857778,0.40325,4.841627029231041,-7.615628824061132,6.72082493350519,0.87875,3.023292050410627,4.175622107786317,2.1534973241462243,0.01875,0.07711891110392376,0.06827691983684256,0.4013792573562742,0.534,0.9403185258628599,1.5104615694302812,4.729798163130368,0.44275,0.419025112528176,1.0282898791432686,1.7166811676711025,0.2595,0.10506607400192222,0.3899052728991775,0.9341035601816681,0.41325,0.13616470718080462,0.3514061815029279,0.8579406089525099,0.0,,,,
2017,26,equal,0.88075,true,0.014220562499999992,1.5162248357168504,6.58898383447811,20.093664083431918,2.1315146047296,0.375,0.625,1.683818925231881,2.737799215316772,3.635258913040161,0.21275,5.459795222653393,-7.552128925323487,3.9561729431152344,0.9695,3.7128619175731354,4.387966881990432,1.242523431777954,0.0015,0.047894703562339436,0.031068304553627957,0.22926507890224457,0.50175,0.6678932323414019,1.1279386162757878,2.5932650566101074,0.355,0.34458620136405815,0.7619673830270768,0.9976720213890076,0.15375,0.09119373228143378,0.2273265852034092,0.37933462858200073,0.2795,0.12175475072716056,0.22592092614620923,0.2484641969203949,0.02925,,,,
2020,1,ensemble,0.0065,false,0.00004225,1.1240527447929576,3.1189779287633206,13.664128644043995,1.655562928915023,0.6,0.8,2.629994575291814,3.9761522245407077,2.7643866539001465,0.07225,1.2329091498750449,-1.9023819065093983,3.75563645362854,0.7065,1.138003122495059,-1.5867459928989414,0.8724603652954102,0.9705,0.4499635196706375,0.5893792545795445,1.943214774131775,0.41925,0.16939335663223162,-0.22315526604652391,0.5054649710655212,0.7065,,,,,,,,,,,,,,,,
2020,1,calibrated,0.002,false,4e-6,1.1567632147615459,3.2485201909847707,12.072165227024517,1.6354582864245577,0.2,0.6,2.9171760252428105,4.014631624917686,2.0798617042230463,0.02075,1.1079938129529758,-1.8128424034333623,2.835418545714732,0.76325,1.242039242597136,-1.5937326482521719,0.6569249778829199,0.9925,0.35923387480688573,0.5180884248699141,1.444010224076354,0.38525,0.1573731182079216,-0.23799633064965386,0.374918051977922,0.77025,,,,,,,,,,,,,,,,
2020,1,equal,0.00775,false,0.000060062499999999996,1.283355642381186,3.7635051887721978,13.542025016861594,1.7871183685064307,0.4,0.8,3.140720136026048,4.918731136322019,3.4738969802856445,0.071,1.408694337554089,-2.115596661567687,3.5705971717834473,0.76,1.1590295573679803,-1.566348538398743,0.9058778882026672,0.9515,0.5724614183558037,-0.18331077337264967,2.571214199066162,0.5025,0.1358727626020087,-0.15160473287105547,0.4908074736595154,0.57875,,,,,,,,,,,,,,,,
2020,4,ensemble,0.02525,false,0.0006375625000000001,1.6092155236467731,4.614341052688289,12.052393665597219,2.250265040814876,0.4,1.0,2.7655931277828367,4.627031965255735,4.888738632202148,0.1565,2.0009533807931286,2.3984687232971202,7.117652893066406,0.33475,1.1796945126780054,-1.739133462905884,1.4681377410888672,0.892,1.8919510460306705,-2.452768426537513,3.477353572845459,0.87225,0.2078855509492247,-0.033922626078128695,0.9762704372406006,0.60075,,,,,,,,,,,,,,,,
2020,4,calibrated,0.02275,false,0.0005175625,1.6104926146923846,4.617936041506567,12.034139802178393,2.261398120742726,0.4,1.0,2.7821118914149774,4.636570259260708,4.796816582974996,0.15225,1.9837786657806036,2.4208706180178896,6.983532980348153,0.33225,1.1831061344613265,-1.7405571217851912,1.437844839230166,0.8945,1.8993023166635183,-2.470775060555109,3.4058139881814657,0.87625,0.20416406514149724,-0.03821754409473119,0.9531449780215036,0.60175,,,,,,,,,,,,,,,,
2020,4,equal,0.01875,false,0.0003515625,1.6069566601863519,4.711575129838434,11.786123939507807,2.2690496150851245,0.4,1.0,2.7604770019201608,4.649437351226804,4.972593784332275,0.16925,2.0175873259867116,2.4175004863739025,7.319136142730713,0.3535,1.1116411506782218,-1.6693293458223346,1.6023297309875488,0.86225,1.932195911015639,-2.5805399233102793,3.117175817489624,0.87125,0.21288191133102508,0.028440968692302823,1.0093134641647339,0.56425,,,,,,,,,,,,,,,,
2020,8,ensemble,0.01875,false,0.0003515625,1.8842126674171753,5.270932994562277,10.119818685551987,2.7679951204061504,0.4,0.8,1.6438685190694575,2.752340717315671,5.079172134399414,0.283,3.5144641949181272,5.59012459754944,6.993015289306641,0.1985,2.1355225993035463,-2.7297648942470554,1.1496798992156982,0.9745,1.863844527327971,-2.5044996702671045,2.7050976753234863,0.86275,0.26336349646677537,-0.2632457226514815,0.9500129222869873,0.69575,,,,,,,,,,,,,,,,
2020,8,calibrated,0.025,false,0.0006250000000000001,1.8656872833902585,5.218643340832146,10.632058760142481,2.691813713748136,0.4,0.8,1.6785229608898402,2.7113263743372693,5.651131370999895,0.30475,3.456934219622861,5.4113683400149775,7.800762129190286,0.233,2.0876011084934265,-2.7269059220928016,1.2852287395475894,0.965,1.8263691155849797,-2.3753893953517506,3.125517836587849,0.838,0.2790090123601857,-0.2340785369438783,1.0939406564582683,0.68425,,,,,,,,,,,,,,,,
